page_number,order,class_id,confidence,x0,y0,x1,y1
1,1,2,0.7110,186.39694213867188,111.05432891845703,1378.9456787109375,159.23898315429688
1,2,2,0.7211,186.4447479248047,177.40670776367188,524.509521484375,211.77786254882812
1,3,2,0.4744,186.34945678710938,279.7272033691406,655.443359375,330.1011047363281
1,4,0,0.3358,186.34945678710938,279.7272033691406,655.443359375,330.1011047363281
1,5,0,0.9525,186.47457885742188,442.4613342285156,2119.91064453125,724.2997436523438
1,6,1,0.9156,184.9649658203125,805.4078369140625,2227.8740234375,1045.3590087890625
1,7,1,0.9348,186.86866760253906,1142.7244873046875,786.014404296875,1220.9454345703125
1,8,0,0.8872,187.5531463623047,1268.6531982421875,408.265380859375,1302.9149169921875
1,9,1,0.9567,189.04238891601562,1310.7894287109375,738.8834838867188,1469.6328125
1,10,0,0.8608,186.65426635742188,1517.834716796875,463.0095520019531,1552.602783203125
1,11,1,0.9412,186.1036376953125,1559.5264892578125,789.7066040039062,1719.84521484375
1,12,2,0.8957,184.30975341796875,2965.968994140625,2268.3515625,3090.318115234375
1,13,2,0.7667,187.37313842773438,3115.355224609375,762.1793212890625,3154.812744140625
1,14,0,0.8905,861.9310302734375,1169.04150390625,1030.4073486328125,1214.43359375
1,15,1,0.9770,859.7572631835938,1231.7994384765625,2276.889892578125,2528.258056640625
1,16,0,0.8053,863.0189208984375,2582.436767578125,1075.9404296875,2620.78662109375
1,17,1,0.9214,860.7447509765625,2635.6044921875,2216.053955078125,2733.56640625
1,18,2,0.9041,1934.4609375,228.9260711669922,2290.060302734375,340.187255859375
1,19,2,0.9144,1839.0980224609375,3119.368408203125,2289.0869140625,3152.4697265625
2,1,2,0.9009,186.81321716308594,95.99726104736328,451.3728942871094,127.33289337158203
2,2,0,0.8950,191.33599853515625,189.46463012695312,664.4869384765625,243.6298370361328
2,3,1,0.9776,186.0169677734375,303.9476013183594,1207.6468505859375,1430.27734375
2,4,1,0.4252,185.97256469726562,1439.970703125,1207.7196044921875,2831.73583984375
2,5,1,0.8087,186.154541015625,1440.675048828125,1207.1641845703125,2831.923095703125
2,6,1,0.9768,187.10919189453125,2843.815673828125,1205.5382080078125,3049.92626953125
2,7,1,0.9799,1274.8001708984375,198.37254333496094,2294.95849609375,891.5133056640625
2,8,0,0.9072,1276.4073486328125,1010.6775512695312,1583.52587890625,1063.025146484375
2,9,1,0.9772,1275.8548583984375,1125.6798095703125,2295.37353515625,1548.457275390625
2,10,6,0.9300,1273.8511962890625,1602.1337890625,2292.630615234375,1692.8157958984375
2,11,5,0.9764,1274.87109375,1699.765869140625,2289.83203125,2380.243896484375
2,12,1,0.5342,1275.061279296875,2388.28173828125,2289.553466796875,3041.279052734375
2,13,1,0.2601,1274.821533203125,2389.07373046875,2289.416748046875,2559.318603515625
2,14,1,0.2515,1275.844482421875,2563.2333984375,2235.60791015625,2645.284912109375
2,15,1,0.2453,1276.7869873046875,2650.965576171875,2257.285400390625,2777.09765625
2,16,2,0.3308,1805.2056884765625,83.48583221435547,2293.55419921875,188.97666931152344
2,17,2,0.5130,1805.3916015625,84.09174346923828,2293.886474609375,185.07034301757812
3,1,2,0.8849,187.89088439941406,81.13085174560547,675.4935302734375,188.60528564453125
3,2,1,0.9801,187.2439422607422,197.99722290039062,1205.262939453125,457.25982666015625
3,3,1,0.9812,185.57666015625,467.61602783203125,1207.06591796875,1592.5477294921875
3,4,0,0.8983,190.3853759765625,1701.7841796875,581.1465454101562,1753.9664306640625
3,5,1,0.9779,185.7605743408203,1814.605712890625,1207.8070068359375,3050.115966796875
3,6,2,0.9122,2026.76513671875,96.74976348876953,2289.772216796875,126.82242584228516
3,7,1,0.9782,1274.3739013671875,198.8749237060547,2293.617919921875,1485.82177734375
3,8,1,0.9761,1274.8880615234375,1494.935546875,2295.289306640625,1808.66796875
3,9,3,0.9741,1373.6580810546875,1892.3076171875,2191.411865234375,2595.90869140625
3,10,4,0.9160,1273.6492919921875,2639.03759765625,2290.071044921875,2820.714599609375
3,11,4,0.2924,1272.5076904296875,2641.7216796875,2291.921875,3050.28857421875
3,12,1,0.8938,1274.83056640625,2823.883056640625,2290.37744140625,3049.197021484375
4,1,2,0.9021,186.79931640625,96.7215347290039,451.3705139160156,126.96829223632812
4,2,3,0.9666,205.3971710205078,205.62539672851562,1190.8447265625,593.7203369140625
4,3,4,0.9582,186.18038940429688,635.8161010742188,1202.7703857421875,1091.5732421875
4,4,1,0.9781,187.2343292236328,1169.5416259765625,1205.1077880859375,1375.71533203125
4,5,1,0.9819,185.39498901367188,1384.201904296875,1206.8125,2237.075927734375
4,6,6,0.6583,605.4404907226562,2347.230712890625,2132.20263671875,2391.194091796875
4,7,5,0.9795,187.83067321777344,2399.651611328125,2290.90576171875,2870.43212890625
4,8,7,0.9323,185.7387237548828,2876.881103515625,1975.120849609375,3047.83056640625
4,9,2,0.8112,1805.193115234375,83.58330535888672,2291.713623046875,189.1494903564453
4,10,1,0.9745,1275.6221923828125,197.7193603515625,2294.733154296875,1324.7669677734375
4,11,1,0.9727,1275.9393310546875,1330.7139892578125,2293.564697265625,1970.5040283203125
4,12,1,0.9639,1275.8734130859375,1980.3125,2294.498291015625,2239.6376953125
5,1,2,0.8650,187.89352416992188,81.02561950683594,675.2611694335938,188.5905303955078
5,2,1,0.9790,186.8599853515625,199.25038146972656,1206.79345703125,564.24560546875
5,3,1,0.9834,185.90310668945312,575.6859741210938,1206.7783203125,1593.904052734375
5,4,0,0.7439,189.62649536132812,1700.730224609375,938.2512817382812,1754.11328125
5,5,0,0.5703,190.34323120117188,1701.4476318359375,940.293701171875,1753.803955078125
5,6,1,0.9529,189.2992706298828,1818.7796630859375,1206.15771484375,1914.1751708984375
5,7,0,0.9517,187.80142211914062,2000.8365478515625,1105.505615234375,2104.050048828125
5,8,1,0.9792,188.02566528320312,2140.4169921875,1206.9334716796875,2400.61865234375
5,9,0,0.9321,189.64515686035156,2484.2890625,1004.9430541992188,2535.7509765625
5,10,1,0.9809,186.3579864501953,2571.521484375,1207.266357421875,3049.905029296875
5,11,2,0.9154,2026.7208251953125,96.60403442382812,2289.964111328125,126.8177261352539
5,12,1,0.9826,1274.841552734375,198.93365478515625,2294.480712890625,726.8045654296875
5,13,1,0.9841,1275.753662109375,738.607177734375,2293.384033203125,1646.0765380859375
5,14,1,0.9810,1275.069580078125,1655.8916015625,2294.252685546875,2130.756103515625
5,15,1,0.9816,1275.8656005859375,2141.224365234375,2293.74267578125,3049.7177734375
6,1,2,0.9078,186.73980712890625,96.0792236328125,451.4166564941406,127.15338897705078
6,2,0,0.9466,187.84815979003906,191.92892456054688,1119.520751953125,295.7696838378906
6,3,1,0.9803,186.8554229736328,332.2096862792969,1207.6494140625,1403.6142578125
6,4,1,0.9815,186.1362762451172,1410.161865234375,1206.5574951171875,2535.52880859375
6,5,1,0.9836,186.6432342529297,2545.802001953125,1206.581298828125,3023.331298828125
6,6,1,0.9804,1275.0625,198.0652313232422,2294.033935546875,836.7047729492188
6,7,0,0.9181,1277.3973388671875,920.1611938476562,1727.4364013671875,971.6773681640625
6,8,1,0.9808,1275.9898681640625,1005.5980834960938,2293.6123046875,1646.4150390625
6,9,0,0.6051,1277.259033203125,1729.715087890625,2020.2994384765625,1781.76708984375
6,10,0,0.5168,1278.16064453125,1730.623291015625,2016.87451171875,1781.095947265625
6,11,1,0.9822,1275.7333984375,1817.6307373046875,2294.091796875,2509.69091796875
6,12,0,0.9197,1276.4586181640625,2593.02734375,1767.974853515625,2644.173095703125
6,13,1,0.9778,1275.162841796875,2681.598388671875,2296.016357421875,3050.049560546875
6,14,2,0.7037,1805.270263671875,83.43592834472656,2293.69921875,188.9816436767578
6,15,2,0.2098,1805.405029296875,84.03961944580078,2293.9775390625,185.1778106689453
7,1,2,0.8470,187.79005432128906,81.95293426513672,675.9359741210938,185.25045776367188
7,2,2,0.9098,2026.18408203125,96.29932403564453,2290.324462890625,127.03724670410156
7,3,1,0.9158,1270.737548828125,194.86181640625,2297.340087890625,3057.194580078125
7,4,1,0.9764,186.5487060546875,200.0077667236328,1207.5086669921875,891.700439453125
7,5,0,0.9096,189.30224609375,979.9111938476562,615.8746337890625,1023.5785522460938
7,6,1,0.9793,187.15504455566406,1060.9542236328125,1206.6160888671875,1754.4073486328125
7,7,0,0.9048,188.2766571044922,1842.77880859375,661.9976196289062,1886.602294921875
7,8,1,0.8925,189.8922119140625,1926.7088623046875,1066.487060546875,1968.95361328125
7,9,0,0.8703,188.83282470703125,2058.848876953125,312.0079345703125,2099.23779296875
7,10,1,0.9235,187.4634246826172,2138.98095703125,1140.9237060546875,2291.90966796875
7,11,0,0.9006,187.94395446777344,2379.535888671875,403.9392395019531,2421.864501953125
7,12,1,0.8904,185.95518493652344,2461.169921875,1206.40380859375,3031.005126953125
8,1,2,0.9017,185.69737243652344,94.77511596679688,452.0455017089844,128.32733154296875
8,2,1,0.9454,182.7960662841797,205.45022583007812,1207.8685302734375,2955.614990234375
8,3,1,0.9315,1271.769775390625,215.13662719726562,2299.6728515625,2549.03857421875
8,4,1,0.5649,1324.1458740234375,2658.311279296875,2243.672607421875,2924.77099609375
8,5,2,0.2595,1324.1458740234375,2658.311279296875,2243.672607421875,2924.77099609375
8,6,2,0.8649,1801.9656982421875,83.70296478271484,2291.83740234375,177.7519073486328
